Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,2.73071178671564E-05,1.45913751155733E-05,-0.00171584486827726,0,0,0,2.24190547293784,0.00270602509038325,7.62987829306754E-08,-1.34615241658557E-11,0.00365487291648961,-2.63090788181051E-13,0.00519308082479308,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/base.STL,,腿左后-3/RL_base-1/电机连接件1-1;腿左后-3/RL_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左后-3/RL_base-1/沉头螺栓M4-25-1;腿左后-3/RL_base-1/防松螺母M4-1;腿左后-3/RL_base-1/平垫片M4-9-0.5-1;腿左后-3/RL_base-1/弹簧垫片M4-1.1-1;腿左后-3/RL_base-1/内六角螺栓M4-10-1;腿左后-3/RL_base-1/沉头螺栓M4-12-1;腿左后-3/RL_base-1/沉头螺栓M4-25-2;腿左后-3/RL_base-1/防松螺母M4-2;腿左后-3/RL_base-1/平垫片M4-9-0.5-2;腿左后-3/RL_base-1/弹簧垫片M4-1.1-2;腿左后-3/RL_base-1/沉头螺栓M4-25-3;腿左后-3/RL_base-1/防松螺母M4-3;腿左后-3/RL_base-1/平垫片M4-9-0.5-3;腿左后-3/RL_base-1/弹簧垫片M4-1.1-3;腿左后-3/RL_base-1/沉头螺栓M4-25-4;腿左后-3/RL_base-1/防松螺母M4-4;腿左后-3/RL_base-1/平垫片M4-9-0.5-4;腿左后-3/RL_base-1/弹簧垫片M4-1.1-4;腿左后-3/RL_base-1/内六角螺栓M4-10-2;腿左后-3/RL_base-1/内六角螺栓M4-10-3;腿左后-3/RL_base-1/内六角螺栓M4-10-4;腿左后-3/RL_base-1/沉头螺栓M4-12-2;腿左后-3/RL_base-1/沉头螺栓M4-12-3;腿左后-3/RL_base-1/沉头螺栓M4-12-4;腿左后-3/RL_base-1/沉头螺栓M4-12-5;腿左前-1/FL_base-1/沉头螺栓M4-12-5;腿左前-1/FL_base-1/沉头螺栓M4-12-4;腿左前-1/FL_base-1/沉头螺栓M4-12-3;腿左前-1/FL_base-1/沉头螺栓M4-12-2;腿左前-1/FL_base-1/内六角螺栓M4-10-4;腿左前-1/FL_base-1/内六角螺栓M4-10-3;腿左前-1/FL_base-1/内六角螺栓M4-10-2;腿左前-1/FL_base-1/弹簧垫片M4-1.1-4;腿左前-1/FL_base-1/平垫片M4-9-0.5-4;腿左前-1/FL_base-1/防松螺母M4-4;腿左前-1/FL_base-1/沉头螺栓M4-25-4;腿左前-1/FL_base-1/弹簧垫片M4-1.1-3;腿左前-1/FL_base-1/平垫片M4-9-0.5-3;腿左前-1/FL_base-1/防松螺母M4-3;腿左前-1/FL_base-1/沉头螺栓M4-25-3;腿左前-1/FL_base-1/弹簧垫片M4-1.1-2;腿左前-1/FL_base-1/平垫片M4-9-0.5-2;腿左前-1/FL_base-1/防松螺母M4-2;腿左前-1/FL_base-1/沉头螺栓M4-25-2;腿左前-1/FL_base-1/沉头螺栓M4-12-1;腿左前-1/FL_base-1/内六角螺栓M4-10-1;腿左前-1/FL_base-1/弹簧垫片M4-1.1-1;腿左前-1/FL_base-1/平垫片M4-9-0.5-1;腿左前-1/FL_base-1/防松螺母M4-1;腿左前-1/FL_base-1/沉头螺栓M4-25-1;腿左前-1/FL_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左前-1/FL_base-1/电机连接件1-1;腿右后-5/RR_base-1/沉头螺栓M4-12-5;腿右后-5/RR_base-1/沉头螺栓M4-12-4;腿右后-5/RR_base-1/沉头螺栓M4-12-3;腿右后-5/RR_base-1/沉头螺栓M4-12-2;腿右后-5/RR_base-1/内六角螺栓M4-10-4;腿右后-5/RR_base-1/内六角螺栓M4-10-3;腿右后-5/RR_base-1/内六角螺栓M4-10-2;腿右后-5/RR_base-1/弹簧垫片M4-1.1-4;腿右后-5/RR_base-1/平垫片M4-9-0.5-4;腿右后-5/RR_base-1/防松螺母M4-4;腿右后-5/RR_base-1/沉头螺栓M4-25-4;腿右后-5/RR_base-1/弹簧垫片M4-1.1-3;腿右后-5/RR_base-1/平垫片M4-9-0.5-3;腿右后-5/RR_base-1/防松螺母M4-3;腿右后-5/RR_base-1/沉头螺栓M4-25-3;腿右后-5/RR_base-1/弹簧垫片M4-1.1-2;腿右后-5/RR_base-1/平垫片M4-9-0.5-2;腿右后-5/RR_base-1/防松螺母M4-2;腿右后-5/RR_base-1/沉头螺栓M4-25-2;腿右后-5/RR_base-1/沉头螺栓M4-12-1;腿右后-5/RR_base-1/内六角螺栓M4-10-1;腿右后-5/RR_base-1/弹簧垫片M4-1.1-1;腿右后-5/RR_base-1/平垫片M4-9-0.5-1;腿右后-5/RR_base-1/防松螺母M4-1;腿右后-5/RR_base-1/沉头螺栓M4-25-1;腿右后-5/RR_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿右后-5/RR_base-1/电机连接件1-1;腿右前-3/FR_base-1/弹簧垫片M4-1.1-4;腿右前-3/FR_base-1/电机连接件1-1;腿右前-3/FR_base-1/沉头螺栓M4-12-5;腿右前-3/FR_base-1/沉头螺栓M4-12-4;腿右前-3/FR_base-1/沉头螺栓M4-12-3;腿右前-3/FR_base-1/沉头螺栓M4-12-2;腿右前-3/FR_base-1/内六角螺栓M4-10-4;腿右前-3/FR_base-1/内六角螺栓M4-10-3;腿右前-3/FR_base-1/内六角螺栓M4-10-2;腿右前-3/FR_base-1/弹簧垫片M4-1.1-3;腿右前-3/FR_base-1/平垫片M4-9-0.5-4;腿右前-3/FR_base-1/防松螺母M4-4;腿右前-3/FR_base-1/沉头螺栓M4-25-4;腿右前-3/FR_base-1/弹簧垫片M4-1.1-2;腿右前-3/FR_base-1/平垫片M4-9-0.5-3;腿右前-3/FR_base-1/防松螺母M4-3;腿右前-3/FR_base-1/沉头螺栓M4-25-3;腿右前-3/FR_base-1/弹簧垫片M4-1.1-1;腿右前-3/FR_base-1/平垫片M4-9-0.5-2;腿右前-3/FR_base-1/防松螺母M4-2;腿右前-3/FR_base-1/沉头螺栓M4-25-2;腿右前-3/FR_base-1/沉头螺栓M4-12-1;腿右前-3/FR_base-1/内六角螺栓M4-10-1;腿右前-3/FR_base-1/平垫片M4-9-0.5-1;腿右前-3/FR_base-1/防松螺母M4-1;腿右前-3/FR_base-1/沉头螺栓M4-25-1;腿右前-3/FR_base-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;机身-1,X0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_thigh,-0.0153479657672771,0.0488998976666579,0.000221401117532946,0,0,0,0.645767346261592,0.000291133540885332,1.31170924240145E-05,-1.00711000830546E-05,0.000377766961086417,-0.000115450699560139,0.000376652426498016,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_thigh.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_thigh.STL,,腿左前-1/FL_thigh-1/电机连接件2-1;腿左前-1/FL_thigh-1/电机连接件3-1;腿左前-1/FL_thigh-1/腿部连杆上2-1;腿左前-1/FL_thigh-1/腿部连接件上1-1;腿左前-1/FL_thigh-1/腿部连接件中1-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件中下-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-1;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-2;腿左前-1/FL_thigh-1/紧固件_腿部连接件上1-3;腿左前-1/FL_thigh-1/沉头螺栓M4-16-21;腿左前-1/FL_thigh-1/电机连接件3-2;腿左前-1/FL_thigh-1/沉头螺栓M4-16-22;腿左前-1/FL_thigh-1/沉头螺栓M4-16-23;腿左前-1/FL_thigh-1/沉头螺栓M4-16-24;腿左前-1/FL_thigh-1/沉头螺栓M4-16-25;腿左前-1/FL_thigh-1/紧固件_电机连接件23-1;腿左前-1/FL_thigh-1/紧固件_电机连接件23-2;腿左前-1/FL_thigh-1/紧固件_电机连接件23-3;腿左前-1/FL_thigh-1/紧固件_电机连接件23-4;腿左前-1/FL_thigh-1/紧固件_电机连接件23-5;腿左前-1/FL_thigh-1/沉头螺栓M4-16-26;腿左前-1/FL_thigh-1/沉头螺栓M4-16-27;腿左前-1/FL_thigh-1/沉头螺栓M4-16-28;腿左前-1/FL_thigh-1/沉头螺栓M4-16-29;腿左前-1/FL_thigh-1/沉头螺栓M4-16-30;腿左前-1/FL_thigh-1/紧固件_腿部连杆-1;腿左前-1/FL_thigh-1/紧固件_腿部连杆-2;腿左前-1/FL_thigh-1/紧固件_腿部连杆-3;腿左前-1/FL_thigh-1/紧固件_腿部连杆-4;腿左前-1/FL_thigh-1/内六角螺栓M4-8-1;腿左前-1/FL_thigh-1/内六角螺栓M4-8-2;腿左前-1/FL_thigh-1/内六角螺栓M4-8-3;腿左前-1/FL_thigh-1/内六角螺栓M4-8-4;腿左前-1/FL_thigh-1/内六角螺栓M4-8-5;腿左前-1/FL_thigh-1/内六角螺栓M4-8-6;腿左前-1/FL_thigh-1/大腿_镜像-1;腿左前-1/FL_thigh-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左前-1/FL_thigh-1/紧固件_电机连接件23-6,X1,Z1,FL_thigh,revolute,0.211101078411194,0.0681714981872677,0.0115335640229515,0,0,0,base,0,0.707106781186551,0.707106781186544,0,0,0,0,,,,,,,,
FL_calf,0.0306492377812281,0.0563089031301754,-0.0428728543180066,0,0,0,0.309712948776457,9.68056338879978E-05,1.84270275737187E-05,-1.71682995311945E-05,9.59251769003685E-05,-3.51292499783733E-05,0.000102088598978652,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_calf.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_calf.STL,,腿左前-1/FL_calf-1/小腿_镜像-1;腿左前-1/FL_calf-1/腿部连杆上1-1;腿左前-1/FL_calf-1/腿部连接件上2-1;腿左前-1/FL_calf-1/腿部连接件中1-1;腿左前-1/FL_calf-1/紧固件_腿部连接件中下-1;腿左前-1/FL_calf-1/紧固件_腿部连杆-1;腿左前-1/FL_calf-1/紧固件_腿部连杆-2;腿左前-1/FL_calf-1/内六角螺栓M4-18-1;腿左前-1/FL_calf-1/内六角螺栓M4-18-2;腿左前-1/FL_calf-1/内六角螺栓M4-18-3;腿左前-1/FL_calf-1/内六角螺栓M4-18-4;腿左前-1/FL_calf-1/内六角螺栓M4-18-5;腿左前-1/FL_calf-1/内六角螺栓M4-18-6;腿左前-1/FL_calf-1/紧固件_腿部连杆-3;腿左前-1/FL_calf-1/紧固件_腿部连杆-4;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-1;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-2;腿左前-1/FL_calf-1/紧固件_腿部连接件上2-3,X2,Z2,FL_calf,revolute,0,0.0357088924499174,0.0357088924499237,0,0,0,FL_thigh,0,0.707106781186551,0.707106781186544,0,0,0,0,,,,,,,,
FL_3,-0.0290582351109469,0.00219818111697556,-0.110014938143905,0,0,0,0.191315403515303,9.44039837119384E-05,1.62109469266169E-06,2.17889401031432E-05,9.68055819423876E-05,2.95253875737824E-06,3.08435462133885E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_3.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_3.STL,,腿左前-1/FL_2-1/腿部连接件下2-1;腿左前-1/FL_2-1/腿部连杆下1-1;腿左前-1/FL_2-1/腿部连接件中2-1;腿左前-1/FL_2-1/紧固件_腿部连接件中下-1;腿左前-1/FL_2-1/紧固件_腿部连杆-1;腿左前-1/FL_2-1/紧固件_腿部连杆-2;腿左前-1/FL_2-1/紧固件_腿部连杆-3;腿左前-1/FL_2-1/紧固件_腿部连杆-4,X3,Z3,FL_3,revolute,0.0601103896864988,0.123095218921983,-0.117664998106236,0,0,0,FL_calf,-0.836516303737812,0.512047039647154,0.19505974153939,0,0,0,0,,,,,,,,
FL_1,0.0224585411744141,0.00257722768253119,-0.101218799468341,0,0,0,0.162243852713664,9.46949784353199E-05,-1.59634830587578E-06,-2.13588238231085E-05,0.000100659255878934,3.658534297208E-06,2.24645976654995E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_1.STL,,腿左前-1/FL_1-1/腿部连接件下1-1;腿左前-1/FL_1-1/腿部连杆下2-1;腿左前-1/FL_1-1/腿部连接件中2-1;腿左前-1/FL_1-1/紧固件_腿部连杆-1;腿左前-1/FL_1-1/紧固件_腿部连杆-2;腿左前-1/FL_1-1/紧固件_腿部连杆-3;腿左前-1/FL_1-1/紧固件_腿部连杆-4,X4,Z4,FL_1,revolute,-0.0601103896864959,0.158804111371896,-0.081956105656309,0,0,0,FL_thigh,0.836516303737807,0.512047039647168,0.195059741539375,0,0,0,0,,,,,,,,
FL_2,0.0310521545755526,0.00332901516108219,0.0604446238234473,0,0,0,0.191315403515303,9.44039837119384E-05,1.62109469266169E-06,2.17889401031432E-05,9.68055819423876E-05,2.95253875737824E-06,3.08435462133885E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_2.STL,,腿左前-1/FL_2-1/腿部连接件下2-1;腿左前-1/FL_2-1/腿部连杆下1-1;腿左前-1/FL_2-1/腿部连接件中2-1;腿左前-1/FL_2-1/紧固件_腿部连接件中下-1;腿左前-1/FL_2-1/紧固件_腿部连杆-1;腿左前-1/FL_2-1/紧固件_腿部连杆-2;腿左前-1/FL_2-1/紧固件_腿部连杆-3;腿左前-1/FL_2-1/紧固件_腿部连杆-4,X5,Z5,FL_2,revolute,0.0601103896865033,-0.00113083404410291,-0.170459561967355,0,0,0,FL_1,0,-0.998349626939264,0.0574284110021552,0,0,0,0,,,,,,,,
FL_foot,-0.000974576112416942,0.000208876753943488,0.00363116488401233,0,0,0,0.0413222478186096,8.6806765974098E-06,-1.95844632060382E-08,-3.40461127068649E-07,8.76785623303118E-06,7.29695856074709E-08,7.50353245761558E-06,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FL_foot.STL,,腿左前-1/足-1,X21,Z21,FL_foot,fixed,0.0498505397393039,-0.00336961086129317,-0.209379009001246,0,0,0,FL_1,0,0,0,,,,,,,,,,,,
FR_thigh,-0.0153451384776362,-0.0489148185085977,0.000206341859719931,0,0,0,0.645767344325805,0.00029636239556981,7.13178373004724E-07,3.69601759984262E-06,0.000375492088725813,0.000118065169417247,0.000373698444983007,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_thigh.STL,,腿右前-3/FR_thigh-1/紧固件_电机连接件23-1;腿右前-3/FR_thigh-1/紧固件_电机连接件23-2;腿右前-3/FR_thigh-1/紧固件_电机连接件23-3;腿右前-3/FR_thigh-1/紧固件_电机连接件23-4;腿右前-3/FR_thigh-1/紧固件_电机连接件23-5;腿右前-3/FR_thigh-1/沉头螺栓M4-16-21;腿右前-3/FR_thigh-1/沉头螺栓M4-16-22;腿右前-3/FR_thigh-1/沉头螺栓M4-16-23;腿右前-3/FR_thigh-1/沉头螺栓M4-16-24;腿右前-3/FR_thigh-1/沉头螺栓M4-16-25;腿右前-3/FR_thigh-1/紧固件_腿部连杆-1;腿右前-3/FR_thigh-1/紧固件_腿部连杆-2;腿右前-3/FR_thigh-1/内六角螺栓M4-8-1;腿右前-3/FR_thigh-1/内六角螺栓M4-8-2;腿右前-3/FR_thigh-1/内六角螺栓M4-8-3;腿右前-3/FR_thigh-1/内六角螺栓M4-8-4;腿右前-3/FR_thigh-1/内六角螺栓M4-8-5;腿右前-3/FR_thigh-1/内六角螺栓M4-8-6;腿右前-3/FR_thigh-1/沉头螺栓M4-16-26;腿右前-3/FR_thigh-1/沉头螺栓M4-16-27;腿右前-3/FR_thigh-1/沉头螺栓M4-16-28;腿右前-3/FR_thigh-1/紧固件_腿部连杆-3;腿右前-3/FR_thigh-1/紧固件_腿部连杆-4;腿右前-3/FR_thigh-1/沉头螺栓M4-16-29;腿右前-3/FR_thigh-1/紧固件_电机连接件23-6;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-1;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-2;腿右前-3/FR_thigh-1/紧固件_腿部连接件上1-3;腿右前-3/FR_thigh-1/紧固件_腿部连接件中下-1;腿右前-3/FR_thigh-1/腿部连接件中1-1;腿右前-3/FR_thigh-1/腿部连接件上1-1;腿右前-3/FR_thigh-1/大腿-1;腿右前-3/FR_thigh-1/腿部连杆上1-1;腿右前-3/FR_thigh-1/电机连接件3-1;腿右前-3/FR_thigh-1/电机连接件2-1;腿右前-3/FR_thigh-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿右前-3/FR_thigh-1/电机连接件3-2;腿右前-3/FR_thigh-1/沉头螺栓M4-16-30,X6,Z6,FR_thigh,revolute,0.211000000000001,-0.0682379725677008,0.0117379725676911,0,0,0,base,0,-0.707106781186547,0.707106781186548,0,0,0,0,,,,,,,,
FR_calf,0.0306491955609177,-0.0563088528657896,-0.0428729432348978,0,0,0,0.30971295006233,9.6805677977486E-05,-1.84269749763469E-05,-1.7168330662028E-05,9.5925238318865E-05,3.51293433019245E-05,0.000102088492697393,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_calf.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_calf.STL,,腿右前-3/FR_calf-1/小腿-1;腿右前-3/FR_calf-1/腿部连接件上2-1;腿右前-3/FR_calf-1/腿部连接件中1-1;腿右前-3/FR_calf-1/腿部连杆上2-1;腿右前-3/FR_calf-1/紧固件_腿部连接件中下-1;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-1;腿右前-3/FR_calf-1/紧固件_腿部连杆-1;腿右前-3/FR_calf-1/紧固件_腿部连杆-2;腿右前-3/FR_calf-1/紧固件_腿部连杆-3;腿右前-3/FR_calf-1/紧固件_腿部连杆-4;腿右前-3/FR_calf-1/内六角螺栓M4-18-1;腿右前-3/FR_calf-1/内六角螺栓M4-18-2;腿右前-3/FR_calf-1/内六角螺栓M4-18-3;腿右前-3/FR_calf-1/内六角螺栓M4-18-4;腿右前-3/FR_calf-1/内六角螺栓M4-18-5;腿右前-3/FR_calf-1/内六角螺栓M4-18-6;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-2;腿右前-3/FR_calf-1/紧固件_腿部连接件上2-3,X7,Z7,FR_calf,revolute,0,-0.0357088924499185,0.0357088924499228,0,0,0,FR_thigh,0,0.707106781186547,-0.707106781186548,0,0,0,0,,,,,,,,
FR_3,-0.029057965027818,-0.00202844133743754,-0.110005116430058,0,0,0,0.191315403972356,9.44039587663478E-05,-1.62107792981861E-06,2.17887646333532E-05,9.68055831508765E-05,-2.95253322942113E-06,3.08435702284224E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_3.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_3.STL,,腿右前-3/FR_2-1/腿部连接件下2-1;腿右前-3/FR_2-1/腿部连杆下2-1;腿右前-3/FR_2-1/腿部连接件中2-1;腿右前-3/FR_2-1/紧固件_腿部连接件中下-1;腿右前-3/FR_2-1/紧固件_腿部连杆-1;腿右前-3/FR_2-1/紧固件_腿部连杆-2;腿右前-3/FR_2-1/紧固件_腿部连杆-3;腿右前-3/FR_2-1/紧固件_腿部连杆-4,X9,Z9,FR_3,revolute,0.0601103896865005,-0.123095218921982,-0.117664998106235,0,0,0,FR_calf,-0.83651630373781,-0.512047039647161,0.195059741539382,0,0,0,0,,,,,,,,
FR_1,0.0224585797317943,-0.00257724753508948,-0.101218744917243,0,0,0,0.162243852376277,9.46949759618372E-05,1.59635353109465E-06,-2.13588380123019E-05,0.000100659255419816,-3.65853432501859E-06,2.24646004165819E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_1.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_1.STL,,腿右前-3/FR_1-1/腿部连接件下1-1;腿右前-3/FR_1-1/腿部连杆下1-1;腿右前-3/FR_1-1/腿部连接件中2-1;腿右前-3/FR_1-1/紧固件_腿部连杆-1;腿右前-3/FR_1-1/紧固件_腿部连杆-2;腿右前-3/FR_1-1/紧固件_腿部连杆-3;腿右前-3/FR_1-1/紧固件_腿部连杆-4,X8,Z8,FR_1,revolute,-0.0601103896864964,-0.158804111371901,-0.0819561056563115,0,0,0,FR_thigh,0.836516303737809,-0.512047039647162,0.195059741539384,0,0,0,0,,,,,,,,
FR_2,0.0310524246586848,-0.00315927538154059,0.0604544455372946,0,0,0,0.191315403972356,9.44039587663478E-05,-1.62107792981861E-06,2.17887646333532E-05,9.68055831508765E-05,-2.95253322942113E-06,3.08435702284224E-05,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_2.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_2.STL,,腿右前-3/FR_2-1/腿部连接件下2-1;腿右前-3/FR_2-1/腿部连杆下2-1;腿右前-3/FR_2-1/腿部连接件中2-1;腿右前-3/FR_2-1/紧固件_腿部连接件中下-1;腿右前-3/FR_2-1/紧固件_腿部连杆-1;腿右前-3/FR_2-1/紧固件_腿部连杆-2;腿右前-3/FR_2-1/紧固件_腿部连杆-3;腿右前-3/FR_2-1/紧固件_腿部连杆-4,X10,Z10,FR_2,revolute,0.0601103896864986,0.0011308340441035,-0.170459561967353,0,0,0,FR_1,0,-0.998349626939264,-0.0574284110021499,0,0,0,0,,,,,,,,
FR_foot,-0.000974576112415942,-0.000208876753947429,0.0036311648840085,0,0,0,0.0413222478186096,8.68067659740978E-06,1.95844632060382E-08,-3.40461127068653E-07,8.76785623303116E-06,-7.29695856074686E-08,7.50353245761557E-06,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/FR_foot.STL,,腿右前-3/足-1,X22,Z22,FR_foot,fixed,0.0498505397393048,0.00336961086129808,-0.209379009001239,0,0,0,FR_1,0,0,0,,,,,,,,,,,,
RL_thigh,-0.0153480090891194,0.0488999968369471,0.000221252721832694,0,0,0,0.645767346316628,0.000291133554005879,1.31171420308844E-05,-1.00711823672742E-05,0.000377767069211841,-0.000115450614441132,0.000376652305254827,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/RL_thigh.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Urdf_Bennett_3/meshes/RL_thigh.STL,,腿左后-3/RL_thigh-1/电机连接件2-1;腿左后-3/RL_thigh-1/电机连接件3-1;腿左后-3/RL_thigh-1/腿部连杆上2-1;腿左后-3/RL_thigh-1/腿部连接件上1-1;腿左后-3/RL_thigh-1/腿部连接件中1-1;腿左后-3/RL_thigh-1/紧固件_腿部连接件中下-1;腿左后-3/RL_thigh-1/紧固件_腿部连接件上1-1;腿左后-3/RL_thigh-1/紧固件_腿部连接件上1-2;腿左后-3/RL_thigh-1/紧固件_电机连接件23-1;腿左后-3/RL_thigh-1/沉头螺栓M4-16-11;腿左后-3/RL_thigh-1/电机连接件3-2;腿左后-3/RL_thigh-1/沉头螺栓M4-16-12;腿左后-3/RL_thigh-1/沉头螺栓M4-16-13;腿左后-3/RL_thigh-1/沉头螺栓M4-16-14;腿左后-3/RL_thigh-1/沉头螺栓M4-16-15;腿左后-3/RL_thigh-1/紧固件_电机连接件23-2;腿左后-3/RL_thigh-1/紧固件_电机连接件23-3;腿左后-3/RL_thigh-1/紧固件_电机连接件23-4;腿左后-3/RL_thigh-1/紧固件_电机连接件23-5;腿左后-3/RL_thigh-1/紧固件_电机连接件23-6;腿左后-3/RL_thigh-1/沉头螺栓M4-16-16;腿左后-3/RL_thigh-1/沉头螺栓M4-16-17;腿左后-3/RL_thigh-1/沉头螺栓M4-16-18;腿左后-3/RL_thigh-1/沉头螺栓M4-16-19;腿左后-3/RL_thigh-1/沉头螺栓M4-16-20;腿左后-3/RL_thigh-1/紧固件_腿部连杆-1;腿左后-3/RL_thigh-1/紧固件_腿部连杆-2;腿左后-3/RL_thigh-1/紧固件_腿部连杆-3;腿左后-3/RL_thigh-1/紧固件_腿部连杆-4;腿左后-3/RL_thigh-1/内六角螺栓M4-8-1;腿左后-3/RL_thigh-1/内六角螺栓M4-8-2;腿左后-3/RL_thigh-1/内六角螺栓M4-8-3;腿左后-3/RL_thigh-1/内六角螺栓M4-8-4;腿左后-3/RL_thigh-1/内六角螺栓M4-8-5;腿左后-3/RL_thigh-1/内六角螺栓M4-8-6;腿左后-3/RL_thigh-1/大腿_镜像-1;腿左后-3/RL_thigh-1/DM_j8006-2ec_V1.1-3d_(以2D为准）-1;腿左后-3/RL_thigh-1/紧固件_腿部连接件上1-3,X11,Z11,RL_thigh,revolute,-0.211,0.0682379725677021,0.0117379725676912,0,0,0,base,0,0.707106781186547,0.707106781186549,0,0,0,0,,,,,,,,
